radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770774017635,2026-02-11T01:40:17.635Z,40.796928,-77.858322,307.6,8BC192AD,-107,-2.75,
AD864DC7,1770773997642,2026-02-11T01:39:57.642Z,40.797638,-77.857402,306.3,8BC192AD,-104,-1,
AD864DC7,1770773817625,2026-02-11T01:36:57.625Z,40.793258,-77.860459,315.7,8BC192AD,-111,-2.25,
AD864DC7,1770774037636,2026-02-11T01:40:37.636Z,40.796928,-77.858322,307.7,8BC192AD,-104,1.25,
AD864DC7,1770774017635,2026-02-11T01:40:17.635Z,40.796928,-77.858322,307.6,8BC192AD,-107,-2.75,
AD864DC7,1770773997642,2026-02-11T01:39:57.642Z,40.797638,-77.857402,306.3,8BC192AD,-104,-1,
AD864DC7,1770774037636,2026-02-11T01:40:37.636Z,40.796928,-77.858322,307.7,8BC192AD,-104,1.25,
AD864DC7,1770774057638,2026-02-11T01:40:57.638Z,40.796928,-77.858322,307.7,8BC192AD,-104,1.25,
AD864DC7,1770774057638,2026-02-11T01:40:57.638Z,40.796928,-77.858322,307.7,8BC192AD,-104,1.25,
AD864DC7,1770774097636,2026-02-11T01:41:37.636Z,40.796926,-77.858321,307.6,8BC192AD,-105,-4.75,
AD864DC7,1770774017635,2026-02-11T01:40:17.635Z,40.796928,-77.858322,307.6,8BC192AD,-107,-2.75,
AD864DC7,1770774097636,2026-02-11T01:41:37.636Z,40.796926,-77.858321,307.6,8BC192AD,-105,-4.75,
AD864DC7,1770774117634,2026-02-11T01:41:57.634Z,40.796925,-77.858321,307.6,8BC192AD,-104,0.25,
AD864DC7,1770774037636,2026-02-11T01:40:37.636Z,40.796928,-77.858322,307.7,8BC192AD,-104,1.25,
AD864DC7,1770774117634,2026-02-11T01:41:57.634Z,40.796925,-77.858321,307.6,8BC192AD,-104,0.25,
AD864DC7,1770774137638,2026-02-11T01:42:17.638Z,40.796924,-77.858321,307.6,8BC192AD,-104,-3,
AD864DC7,1770774057638,2026-02-11T01:40:57.638Z,40.796928,-77.858322,307.7,8BC192AD,-104,1.25,
AD864DC7,1770774137638,2026-02-11T01:42:17.638Z,40.796924,-77.858321,307.6,8BC192AD,-104,-3,
AD864DC7,1770774157638,2026-02-11T01:42:37.638Z,40.796923,-77.858321,307.6,8BC192AD,-105,-6,
AD864DC7,1770774097636,2026-02-11T01:41:37.636Z,40.796926,-77.858321,307.6,8BC192AD,-105,-4.75,